numero,CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability
78380,TAHYIM,-2889.394168,-0.072158,0.2446,1.1828,0.14665,-0.20387,-0.05722,258.796244
78381,XAXZIH,-4031.41331,-0.137369,10.595,1.16297,0.10697,-0.31569,-0.20872,394.086387
78382,POHTOV,-3597.353132,-0.065884,3.2438,0.8717,0.16245,-0.18843,-0.02598,244.457146
78383,XUVWES,-4822.785674,-0.130954,8.0997,0.92666,0.10409,-0.19361,-0.08952,440.000886
78384,QIKFEX,-4330.028687,-0.199497,4.7419,1.19642,0.07711,-0.18139,-0.10428,565.375596
78385,MASXUC,-3488.858401,-0.05168,9.5623,1.00093,0.13721,-0.19579,-0.05858,196.171794
78387,GAJGUU,-3949.087063,-0.165417,10.5027,1.16356,0.16108,-0.20437,-0.04329,453.569799
78389,YOBBIB,-4680.449665,-0.223498,6.5901,1.15968,0.09791,-0.15651,-0.0586,564.528226
78390,QURGAN,-3435.80469,-0.134268,6.6824,1.1725,0.01535,-0.14649,-0.13114,413.426402
78392,WOFRAL,-4933.374935,-0.196625,6.1409,0.9844,0.17936,-0.19049,-0.01113,514.677938
78393,WUGLAM,-4276.914194,-0.099134,4.0472,0.87232,0.10784,-0.16879,-0.06095,334.36476
78394,HAWCOY,-2777.145593,-0.057724,7.1745,1.06188,0.23177,-0.35659,-0.12482,172.245028
78395,LELFEP,-3274.690308,-0.128336,2.4843,1.1629,0.09558,-0.18482,-0.08924,382.587674
78396,WILVAR,-3633.098524,-0.202582,6.453,1.23544,0.11589,-0.16475,-0.04886,496.850244
78397,DITVUA,-3611.886501,-0.140804,0.0002,1.19793,0.11619,-0.1933,-0.07711,431.136532
78398,PONLUB,-3152.842839,-0.112419,7.4631,1.16773,0.15296,-0.33246,-0.1795,295.21741
78399,BISNUM,-3490.725736,-0.055433,10.2443,0.95849,0.12939,-0.21123,-0.08184,222.154837
78401,OCINUL,-5877.484903,-0.369587,0.0032,1.26293,0.08741,-0.17266,-0.08525,1082.259856
78402,CAZQAW,-5556.006844,-0.225573,10.2031,0.81975,0.10312,-0.17735,-0.07423,625.667901
78403,LOPJEG,-3086.368645,-0.120157,6.8877,1.10578,0.14144,-0.16723,-0.02579,347.038695
78404,DEGKAB,-3225.380419,-0.067246,0,1.20614,0.13365,-0.18956,-0.05591,245.594346
78405,UVEVEY,-4104.153384,-0.172167,0.0011,1.21294,0.14877,-0.23317,-0.0844,497.695316
78407,UBOMUW,-4341.215588,-0.178252,12.0277,0.76894,0.16851,-0.18611,-0.0176,427.968418
78409,KAPBOU,-6345.22979,-0.061857,15.8415,0.99188,0.10946,-0.18804,-0.07858,228.613878
78410,JADVIW,-3565.96316,-0.127022,0.0009,1.19231,0.12082,-0.21922,-0.0984,355.703644
78411,COQVIP,-7767.607388,-0.069407,9.3604,0.99103,0.22282,-0.21107,0.01175,244.091272
78414,YUDLUF,-3854.747094,-0.133536,6.8097,1.1348,0.15165,-0.18742,-0.03577,376.097957
78416,PIKFOF,-3292.458382,-0.092117,8.3877,1.11678,0.10771,-0.20504,-0.09733,316.43409
78417,ZIXVOU,-6083.055644,-0.093509,7.1225,0.82668,0.12261,-0.21084,-0.08823,358.879557
78418,YIDQIN,-3018.36508,-0.133421,6.4434,1.00832,0.13826,-0.16981,-0.03155,366.44947
78421,USEDIH,-3782.653002,-0.201218,0.0169,1.11115,0.09851,-0.17362,-0.07511,552.266603
78422,POFTEL,-4092.5027,-0.252363,6.0563,1.20596,0.15726,-0.19215,-0.03489,625.830728
78424,XOTXAF,-3776.028308,-0.092232,1.12,0.94248,0.08101,-0.16759,-0.08658,305.65667
78425,TEVJIQ,-3661.246279,-0.096098,9.1317,0.94069,0.09341,-0.2244,-0.13099,304.737941
78426,OBOCUE,-3171.661076,-0.078997,9.5395,1.03503,0.15062,-0.32527,-0.17465,253.636537
78428,UTAWET,-3532.773652,-0.134323,0.4439,1.1858,0.08864,-0.19696,-0.10832,428.550814
78429,UGIBAP,-2909.90667,-0.050468,5.6786,1.15868,0.10531,-0.23004,-0.12473,183.860528
78430,QAWHUT,-3272.995417,-0.109967,3.348,1.17945,0.11585,-0.1678,-0.05195,334.171697
78431,WIWSED,-3734.054815,-0.169117,4.1199,1.11078,0.07492,-0.18137,-0.10645,490.998205
78432,ICUDAM,-2967.528932,-0.086472,8.9617,1.00585,0.1824,-0.30423,-0.12183,245.999225
78433,MAZTAK,-2507.631611,-0.058438,1.92,1.10905,0.09789,-0.18496,-0.08707,210.039432
78435,JODNOI,-4259.257046,-0.159483,6.5158,1.11747,0.10083,-0.19265,-0.09182,442.402616
78436,POLKIN,-3473.512512,-0.174211,8.7258,1.21999,0.12066,-0.16286,-0.0422,452.836136
78439,TAYQUG,-3599.351152,-0.077437,0.3671,0.93581,0.13007,-0.19045,-0.06038,271.00879
78440,NESDAR,-3885.713423,-0.093953,7.9971,1.01214,0.1379,-0.20815,-0.07025,306.708258
78441,BAQROA,-2849.217179,-0.089864,1.4208,1.21108,0.10485,-0.16313,-0.05828,288.496881
78443,EBUHAN,-4540.650546,-0.268503,0.0202,1.2413,0.08931,-0.18048,-0.09117,734.778373
78444,EYIZIX,-8559.228153,-0.100205,5.7337,0.94246,0.11449,-0.2121,-0.09761,406.271187
78447,ERURAL,-2669.571025,-0.088211,6.1828,1.08378,0.0967,-0.15479,-0.05809,271.041379
78449,YIXGAQ,-4382.526357,-0.084298,8.5188,0.97521,0.10769,-0.18708,-0.07939,264.802078
78450,NAJDIO,-4855.626569,-0.26671,3.493,1.22126,0.08567,-0.17368,-0.08801,782.451632
78452,OKARID,-3372.779666,-0.069552,3.7385,0.88864,0.15136,-0.18945,-0.03809,239.239578
78453,EMAFON,-4828.781406,-0.16007,8.9972,0.93079,0.09391,-0.21684,-0.12293,581.932356
78454,PARSIL,-3125.610334,-0.054403,7.9022,0.96029,0.25498,-0.23297,0.02201,168.134288
78455,VIPJOU,-3282.721751,-0.107332,5.1409,1.19515,0.08959,-0.17243,-0.08284,333.562508
78457,FULZOD,-3953.009494,-0.126419,4.4581,1.00128,0.1344,-0.20349,-0.06909,379.541123
78459,QIYCAD,-3542.139917,-0.077653,9.0015,0.95272,0.13535,-0.22054,-0.08519,269.16746
78461,QEMXUE,-4525.373935,-0.190858,6.4338,0.91142,0.0947,-0.17251,-0.07781,532.319803
78462,VIQMIS,-7796.307869,-0.054031,9.8057,0.91673,0.08703,-0.21999,-0.13296,238.656442
78463,XADKOE,-4601.555847,-0.196528,0.0008,1.2639,0.08706,-0.17066,-0.0836,615.059768
78464,OMOCOK,-3557.341634,-0.071682,14.9543,1.12549,0.03084,-0.16624,-0.1354,266.30639
78465,XORPEA,-4631.17897,-0.126442,10.8735,0.90087,0.16613,-0.22996,-0.06383,396.849542
78467,JIDVAW,-3806.467771,-0.184365,6.2487,1.15963,0.13531,-0.18105,-0.04574,497.984121
78468,LEYQUB,-5182.160884,-0.19536,6.9043,0.82389,0.16994,-0.19409,-0.02415,540.859468
78469,KAPDIQ,-3888.805873,-0.089415,14.8313,1.1754,0.1229,-0.23801,-0.11511,344.470166
78470,BPNCUB,-2974.262447,-0.083149,6.49,1.07427,0.10402,-0.30562,-0.2016,276.394045
78472,QAXFIF,-5082.857975,-0.080673,9.1939,0.95334,0.14286,-0.22736,-0.0845,276.591789
78473,LODQEC,-7872.885966,-0.066842,12.5672,0.95284,0.13465,-0.20484,-0.07019,280.098855
78474,MOFHEW,-5462.138507,-0.061663,7.386,1.01725,0.20404,-0.18193,0.02211,211.90263
78475,FORKAZ,-2694.851426,-0.063731,8.4579,1.12641,0.15968,-0.18897,-0.02929,221.565154
78478,KUNDIH,-4063.165678,-0.153782,4.0819,0.92191,0.12696,-0.19728,-0.07032,430.71858
78479,GIYMAC,-3597.632149,-0.065076,14.1124,1.1883,0.15883,-0.21157,-0.05274,213.501685
78482,BOKRUR,-5725.125837,-0.352728,0.0001,1.18283,0.07917,-0.16224,-0.08307,1041.365533
78484,GAMMAK,-3943.278405,-0.08697,3.7445,1.15183,0.13281,-0.18959,-0.05678,290.757539
78485,MULQIU,-5147.448618,-0.112225,15.6512,1.13997,0.08286,-0.19084,-0.10798,469.506402
78486,FUFVIM,-3558.262244,-0.063434,0.9508,1.20322,0.17243,-0.20093,-0.0285,224.993101
78487,RAKROL,-4063.636992,-0.142731,11.9654,1.04969,0.13919,-0.18225,-0.04306,420.139046
78489,LECSOD,-3360.172097,-0.081449,8.6784,0.96367,0.25738,-0.22945,0.02793,232.835015
78491,JODTIG,-4364.767272,-0.196586,6.6133,1.21557,0.13355,-0.19295,-0.0594,549.911212
78492,GUTNUF,-3984.636187,-0.088264,7.1567,0.95755,0.13898,-0.23565,-0.09667,338.132167
78493,QIRYAR,-3916.006978,-0.160384,3.5513,1.14881,0.1035,-0.20188,-0.09838,519.794261
78495,WEGHOH,-2802.773717,-0.05419,7.5082,1.1767,0.10259,-0.20794,-0.10535,193.826088
78496,UFIZEO,-3632.716257,-0.210954,0.7218,1.19945,0.12879,-0.18916,-0.06037,518.775129
78497,ZOJXIH,-3682.392397,-0.052677,11.348,0.93712,0.11397,-0.20231,-0.08834,199.989458
78498,TEXJAK,-3720.525242,-0.076688,9.2606,0.94496,0.08599,-0.20588,-0.11989,279.447918
78499,SIGXIR,-3635.899085,-0.148695,6.8119,1.12818,0.12222,-0.17386,-0.05164,430.923263
78500,YUVPUC,-7688.567285,-0.072705,8.5851,0.93363,0.1117,-0.20274,-0.09104,245.261195
78501,VAGJUL,-3479.562141,-0.075259,10.2581,0.94752,0.19252,-0.22909,-0.03657,231.797568
78502,LEBNOX,-5113.645507,-0.055663,5.5638,1.05588,0.01978,-0.32354,-0.30376,190.274802
78503,GUWNUJ,-3243.817278,-0.129304,1.2314,1.18249,0.09827,-0.18265,-0.08438,388.406557
78504,LINVUA,-3970.051182,-0.188149,4.9657,0.99561,0.12427,-0.16022,-0.03595,486.237337
78505,YUGMET,-3654.005664,-0.090105,6.3869,0.94749,0.18029,-0.16158,0.01871,280.436348
78506,ISIROR,-5380.51955,-0.208985,4.5623,0.78115,0.14986,-0.28213,-0.13227,595.774506
78507,ZOFHOR,-2943.353226,-0.054783,11.9647,0.8346,0.15043,-0.20366,-0.05323,217.701588
78508,HAXXIP,-4859.323169,-0.1456,9.0442,0.95662,0.09219,-0.19012,-0.09793,466.168569
78509,MIMPUV,-4193.761855,-0.139052,5.502,0.73063,0.13674,-0.17705,-0.04031,381.272434
78510,ITIYOB,-4433.477881,-0.19598,6.4045,1.15339,0.12822,-0.18312,-0.0549,506.207371
78511,ODIGEO,-3071.36094,-0.084413,12.208,1.23949,0.11397,-0.20618,-0.09221,279.328239
78513,KAGBOM,-4669.732447,-0.117659,5.6531,0.87474,0.07234,-0.16743,-0.09509,374.959405
78515,DAJKIL,-4266.043287,-0.079246,5.4694,1.08002,0.17939,-0.17509,0.0043,279.567896
78516,DUSTUI,-3885.132719,-0.115262,8.0208,0.96774,0.12861,-0.19783,-0.06922,334.932139
78518,YONYUX,-8545.456155,-0.086991,10.0623,0.96842,0.13208,-0.20594,-0.07386,364.316783
78519,SAFLES,-3177.919455,-0.061083,8.8284,1.1867,0.07781,-0.07714,0.00067,226.681125
78521,HOCZAA,-4759.660119,-0.155733,6.2055,0.86911,0.06852,-0.16028,-0.09176,466.545316
78522,XIGLAC,-3254.111134,-0.172004,7.5865,1.10916,0.10838,-0.14811,-0.03973,436.214084
78523,YEJTAL,-10077.53292,-0.302121,7.9033,1.19592,0.07221,-0.1734,-0.10119,797.368505
78524,QISMUD,-3147.895969,-0.092627,5.5117,1.14352,0.13419,-0.21295,-0.07876,281.21288
78526,QASVEO,-4359.973346,-0.129687,0.0003,1.24594,0.12951,-0.19721,-0.0677,439.854352
78528,TUTNEC,-3860.628459,-0.141377,0.0091,1.20798,0.125,-0.21448,-0.08948,425.232311
78529,VAFMOE,-3628.979018,-0.098355,11.7998,0.95454,0.12751,-0.14189,-0.01438,281.969734
78532,NADKIN,-4760.998572,-0.246244,0.0001,1.1717,0.19632,-0.17308,0.02324,601.837912
78540,TOLDIJ,-3357.355184,-0.126646,7.6423,1.15394,0.11547,-0.20951,-0.09404,387.300024
78542,CISWOR,-3682.651403,-0.114358,11.0894,1.16734,0.10113,-0.19998,-0.09885,404.128857
78544,YONYEH,-5753.925914,-0.084602,9.4164,1.07358,0.11873,-0.19858,-0.07985,316.15879
78547,BEBQEE,-2952.619413,-0.115227,3.0501,1.14732,0.18302,-0.32955,-0.14653,329.234535
78548,PAXPUA,-2633.918236,-0.100594,5.574,1.06259,0.1966,-0.16383,0.03277,253.363974
78549,AXUQER,-2795.348283,-0.078766,7.8566,1.09921,0.09516,-0.17889,-0.08373,232.164391
78552,CIJKIR,-3427.349977,-0.130494,3.4328,1.17687,0.11042,-0.1806,-0.07018,403.044894
78553,VUGCAC,-3307.17622,-0.099989,3.2125,1.19069,0.18962,-0.22587,-0.03625,357.275215
78554,UHERAC,-4482.306653,-0.102471,18.1597,0.95161,0.11198,-0.21033,-0.09835,398.347658
78555,GEZLEE,-3074.510527,-0.096614,4.5153,1.16382,0.11438,-0.18078,-0.0664,314.876045
78556,ETEHUG,-3794.606116,-0.15717,4.5262,1.17002,0.14037,-0.19271,-0.05234,390.852193
78557,UJAQIF,-3480.213389,-0.109735,11.4709,1.04928,0.14269,-0.32248,-0.17979,324.124814
78560,ZEGWEQ,-3512.323593,-0.029389,8.9546,0.94626,0.20474,-0.08645,0.11829,133.5355
78562,GOHDUD,-5288.140809,-0.309761,7.0849,1.19324,0.05144,-0.16427,-0.11283,857.792939
78564,BAKFEA,-2943.053972,-0.104966,5.758,1.1283,0.0925,-0.2742,-0.1817,304.470243
78567,XISVED,-4318.028538,-0.147437,6.6551,1.14816,0.11025,-0.19547,-0.08522,507.552033
78568,YIKFON,-8439.992639,-0.226505,0.0005,0.9381,0.14953,-0.18378,-0.03425,593.514251
78569,XAXGEJ,-4148.529188,-0.174585,16.5443,1.1011,0.08864,-0.17206,-0.08342,490.51914
78570,OJELAQ,-6554.277949,-0.330026,6.1613,0.88571,0.1464,-0.18233,-0.03593,898.555201
78572,PITDON,-3629.195147,-0.054001,0.013,0.98529,0.13346,-0.20509,-0.07163,181.287755
78573,TEMZOC,-3594.421325,-0.183029,8.1759,1.02378,0.07123,-0.19112,-0.11989,517.772464
78574,AZIFAS,-3311.206443,-0.053871,10.5284,0.9329,0.09453,-0.21454,-0.12001,206.574597
78575,ZAHCEQ,-4179.097784,-0.116957,7.5898,0.98312,0.09711,-0.31661,-0.2195,354.257788
78576,GILWOP,-3578.311915,-0.104021,14.7362,1.1729,0.12623,-0.21373,-0.0875,347.518209
78578,CMTZZN,-3294.208804,-0.034028,9.3277,0.97036,0.16582,-0.22538,-0.05956,156.81246
78581,DUSWAR,-3767.247599,-0.097737,9.3367,0.96914,0.12473,-0.19955,-0.07482,299.768335
78582,OPEVIP,-3907.32869,-0.17559,7.1199,1.15957,0.0707,-0.17142,-0.10072,511.157111
78583,TUKKIV,-3494.55846,-0.104056,8.2416,1.23305,0.02939,-0.15301,-0.12362,356.410134
78584,VENGUR,-3226.49525,-0.092726,0.0015,1.18008,0.14123,-0.19863,-0.0574,308.216185
78587,UMAWIO,-4440.179118,-0.135766,0.0101,1.15425,0.11742,-0.19053,-0.07311,442.928718
78588,DAJKEH,-6379.738627,-0.080371,6.0086,1.07083,0.17658,-0.1759,0.00068,285.90012
78589,ECOZII,-8525.264184,-0.104142,8.626,1.18435,0.14146,-0.20002,-0.05856,380.93597
78591,AGEZER,-4091.1125,-0.09281,9.1266,0.76628,0.1658,-0.18726,-0.02146,302.58332
78592,KAYPUX,-3561.698741,-0.067005,4.0343,1.15019,0.15096,-0.19482,-0.04386,242.758861
78593,ICECID,-3892.132896,-0.193027,5.2264,1.16807,0.14603,-0.18341,-0.03738,545.968654
78594,JEHHEK,-4833.107919,-0.052227,9.2106,0.98063,0.2305,-0.35026,-0.11976,159.526338
78595,QIJZAN,-3332.013769,-0.107542,6.9127,1.15659,0.12264,-0.1995,-0.07686,353.421532
78596,KEGMUH,-3552.780035,-0.154435,0.0982,1.13022,0.15819,-0.1955,-0.03731,429.375202
78597,ALOPAS,-2806.194249,-0.059379,5.7041,1.20428,0.13541,-0.21069,-0.07528,212.021161
78598,PODVUA,-7520.164792,-0.058958,7.8018,0.92658,0.09602,-0.20561,-0.10959,212.853952
78599,POCXIO,-2850.724078,-0.061072,3.3505,1.18031,0.10092,-0.27435,-0.17343,178.489327
78600,KODJIY,-4025.094033,-0.128866,11.6159,0.97804,0.0938,-0.2064,-0.1126,384.670629
78602,XERFOQ,-11361.0067,-0.235182,7.0873,0.80674,0.13572,-0.16491,-0.02919,629.503716
78603,UQEDEA,-24723.98032,-0.256933,8.477,1.19381,0.11868,-0.2107,-0.09202,654.396751
78604,LUZTUV,-4258.3715,-0.179294,7.8385,1.01529,0.12917,-0.17575,-0.04658,497.817355
78607,YIDZIV,-13105.36201,-0.092282,6.0214,1.17537,0.11432,-0.2035,-0.08918,333.260218
78608,IKOYUE,-3229.559628,-0.101643,4.5641,1.17023,0.10207,-0.17559,-0.07352,344.982327
78609,UQENAG,-3948.979671,-0.04866,10.7707,0.93644,0.09846,-0.20692,-0.10846,188.925844
78610,BOPCAL,-3601.092947,-0.092326,8.4667,0.97166,0.10834,-0.20864,-0.1003,280.556477
78611,HECMEI,-3104.468336,-0.064759,5.692,1.19174,0.10518,-0.20307,-0.09789,225.810172
78613,NAZKOQ,-3393.64762,-0.076677,8.3441,1.10738,0.07814,-0.18579,-0.10765,252.700313
78616,JEXKUT,-3516.393052,-0.131221,6.6477,1.16408,0.10747,-0.16583,-0.05836,378.247479
78617,PETJEG,-4536.385298,-0.254273,6.6481,1.29836,0.13647,-0.1813,-0.04483,626.65012
78618,MUCBOC,-4316.545109,-0.08748,4.2948,1.13509,0.15945,-0.20563,-0.04618,311.929363
78619,QASRIL,-4067.421527,-0.104209,10.8521,0.90991,0.13564,-0.17545,-0.03981,314.781304
78620,ASEVUR,-3996.754334,-0.067013,13.095,0.89059,0.09197,-0.21636,-0.12439,219.729478
78621,SUWTIP,-5360.570805,-0.101669,7.9074,0.95788,0.15736,-0.2323,-0.07494,396.01231
78623,HIKBEI,-3729.231668,-0.129619,2.7474,1.15638,0.11421,-0.20523,-0.09102,412.521094
78624,OVESAL,-3900.178404,-0.104523,12.3028,1.18059,0.18003,-0.35346,-0.17343,322.348019
78625,OYOBUB,-4484.008285,-0.161653,0.0003,1.27256,0.09304,-0.19014,-0.0971,508.101229
78626,QOMTIV,-3382.36198,-0.08415,8.9818,1.05378,0.14985,-0.32379,-0.17394,273.22318
78628,MUQKEP,-4376.349936,-0.128138,2.5772,0.9228,0.15191,-0.16532,-0.01341,365.053169
78629,JAYXIR,-3066.466144,-0.024168,0.0023,1.1859,0.18905,-0.19852,-0.00947,131.798477
78630,RIGFEU,-6322.354943,-0.203828,5.4463,1.19674,0.15429,-0.19441,-0.04012,516.05983
78635,OKIBAM,-3011.611605,-0.100476,2.4409,0.88048,0.18415,-0.20629,-0.02214,299.136092
78638,ULAVUY,-2928.656379,-0.073319,7.9134,1.20119,0.14839,-0.17962,-0.03123,268.862963
78640,MEYGOM,-2994.414713,-0.05379,0.304,1.20901,0.17164,-0.21507,-0.04343,175.179044
78641,VIQMAK,-3521.151425,-0.112097,9.5516,1.12918,0.09824,-0.18464,-0.0864,377.282036
78645,IBUTIL,-5725.554457,-0.096212,9.667,1.15809,0.10392,-0.19052,-0.0866,326.410562
78646,KIKNAT,-3224.527675,-0.109633,8.885,1.2501,0.17515,-0.19337,-0.01822,266.092586
78647,ZOPQUS,-2504.884439,-0.049573,6.179,1.17276,0.24978,-0.22043,0.02935,157.27615
78649,MALFOU,-2808.56123,-0.057011,2.0349,1.19129,0.13528,-0.15963,-0.02435,217.99124
78650,QOTBOR,-3389.690776,-0.141454,0.3515,1.14621,0.10149,-0.19413,-0.09264,436.261928
78651,SEJZEM,-4139.727766,-0.149186,5.3031,0.85144,0.15474,-0.06984,0.0849,420.68822
78652,TIQLOU,-3989.425577,-0.130563,4.3774,0.91771,0.12423,-0.19207,-0.06784,410.608855
78654,JUGRUA,-3772.202688,-0.150644,6.042,1.15144,0.07069,-0.17403,-0.10334,482.215621
78655,KIBTIZ,-4348.367591,-0.139513,11.6355,0.95133,0.14842,-0.21555,-0.06713,460.218408
78656,EXIYAN,-4111.826125,-0.107626,6.5895,1.16528,0.10853,-0.20255,-0.09402,356.691177
78657,TOJHUX,-5479.606963,-0.206291,5.1315,0.87643,0.07193,-0.16087,-0.08894,638.928129
78658,SUXREJ,-3143.262364,-0.081485,3.4753,1.18399,0.18537,-0.21893,-0.03356,252.185346
78659,AYISEH,-3040.654863,-0.078803,1.3163,1.18905,0.11002,-0.1704,-0.06038,282.650864
78660,KEFNUF,-3042.232087,-0.113001,6.688,1.10496,0.17113,-0.19658,-0.02545,328.36342
78662,ICIMAJ,-3301.131188,-0.094064,7.6964,1.16393,0.08164,-0.17727,-0.09563,344.385354
78663,QORLIS,-3487.328703,-0.15035,10.2935,1.21144,0.09455,-0.17171,-0.07716,428.741426
78664,YIDROT,-8203.647092,-0.098496,7.4662,1.17151,0.0988,-0.18616,-0.08736,356.233343
78665,NIRXIX,-2969.364115,-0.060092,8.2149,1.12949,0.19234,-0.19437,-0.00203,191.734389
78667,NAXXUH,-4648.774311,-0.12964,19.6968,1.17074,0.12722,-0.33279,-0.20557,390.927879
78668,QOFJIE,-4111.300602,-0.140554,5.9546,1.02694,0.01308,-0.1641,-0.15102,364.883076
78670,MIJQIG,-3262.922512,-0.113837,4.0832,1.14484,0.21079,-0.19208,0.01871,302.507929
78671,EREHOZ,-3920.638807,-0.096775,9.4743,0.96155,0.16238,-0.21987,-0.05749,355.628162
78672,METVIR,-2363.64445,-0.062163,6.1626,1.08335,0.18722,-0.15756,0.02966,192.359033
78673,ATUMUZ,-2842.873774,-0.059953,7.8311,1.16599,0.16267,-0.18855,-0.02588,230.390912
78674,UKUXEE,-8116.280939,-0.109082,3.5074,1.17101,0.11747,-0.19717,-0.0797,341.751865
78675,QUGDOM,-4079.683192,-0.16595,11.1241,1.11421,0.17721,-0.28352,-0.10631,439.711292
78677,NEDWAX,-3245.685287,-0.148712,14.6378,1.0307,0.07568,-0.13794,-0.06226,416.954202
78679,ZOFFOS,-3734.054431,-0.169585,4.1884,1.10881,0.0744,-0.18105,-0.10665,490.994088
78680,TIDJEV,-4300.127909,-0.247757,1.31,1.17754,0.13964,-0.18781,-0.04817,655.19596
78682,OMAZUZ,-3389.799928,-0.064177,9.4123,0.9495,0.09742,-0.22168,-0.12426,229.66598
78683,PUJSAO,-3680.452311,-0.168662,5.3072,1.02355,0.1817,-0.20741,-0.02571,468.820256
78684,MORTOD,-4608.316218,-0.222978,2.6422,1.18931,0.06561,-0.16305,-0.09744,657.913049
78685,YIHJUV,-3357.335872,-0.040463,12.5111,0.97664,0.16109,-0.21184,-0.05075,167.089209
78687,BEGTEP,-4073.359504,-0.08029,12.9782,0.92676,0.09765,-0.22182,-0.12417,259.493819
78690,MIQVAL,-2667.170626,-0.053682,7.3279,1.20301,0.19411,-0.21532,-0.02121,169.510733
78691,GOPDEX,-7999.005367,-0.08553,9.4393,0.92931,0.09263,-0.19612,-0.10349,306.084524
78697,SEMLUR,-3690.764225,-0.158747,0.0005,1.2645,0.08947,-0.18102,-0.09155,504.404747
78698,BIHSIX,-4173.783943,-0.143886,3.8012,0.94646,0.09686,-0.17162,-0.07476,445.407149
78699,LEYROW,-4666.017146,-0.147534,7.3871,0.73118,0.15287,-0.19315,-0.04028,455.504942
78700,EFOXEF,-3485.392532,-0.108457,6.5419,1.18506,0.08125,-0.19326,-0.11201,371.663315
